timestamp,buildingId,email,subject,body,status,messageId
"2026-07-08T17:41:48.571Z","test1","family@test.com","test subject","test body","SENT","bfc2e0a6-cb3b-4cb1-9d80-e50e866b71d1"
"2026-07-08T17:42:21.476Z","71b7a318-2854-43ba-8d12-11f33e2037be","family1@example.com","אישור חזרה לבית ירושלים, רחוב 11","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","SENT","7a3dfe64-4252-4a87-9749-48bf9cf1f2e0"
"2026-07-08T17:47:58.105Z","8b675405-9d29-4b4c-80a6-6f67eb6ab2ea","family1@example.com","ירושלים, רחוב 11","אישור חזרה לבית ירושלים, רחוב 11","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","SENT","74bf50a7-4f3a-430c-8e30-0897277db7f5"
"2026-07-08T18:23:34.486Z","b42d1deb-0384-4a51-a12f-06887548654e","family2@example.com","ירושלים, רחוב 12","אישור חזרה לבית ירושלים, רחוב 12","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
"2026-07-08T18:58:17.522Z","0c5e6f3f-7e7a-4f29-8c43-e90e59c84f7e","family4@example.com","ירושלים, רחוב 14","אישור חזרה לבית ירושלים, רחוב 14","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","SENT","831472da-c181-4f3e-a7f7-b88c1e3269aa"
"2026-07-12T18:41:09.460Z","4c27cc63-b052-4051-bce9-b8bf4ee5ee9d","4c27cc63-b052-4051-bce9-b8bf4ee5ee9d","family1@example.com","ירושלים, רחוב 11","אישור חזרה לבית ירושלים, רחוב 11","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","SENT","e32691f6-a6de-4760-b5e8-5794e0cb1721"
"2026-07-12T18:41:10.784Z","880fc730-edfb-4384-8a3f-ce14d60c9950","880fc730-edfb-4384-8a3f-ce14d60c9950","family2@example.com","ירושלים, רחוב 12","אישור חזרה לבית ירושלים, רחוב 12","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","SENT","7b329ee0-cb05-47a7-8da4-7a257d873fb2"
"2026-07-15T14:46:40.686Z","ce07eaed-19b2-4a04-95a7-5e914012eae8","ce07eaed-19b2-4a04-95a7-5e914012eae8","family1@example.com","ירושלים, רחוב 11","אישור חזרה לבית ירושלים, רחוב 11","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","SENT","8c8633c0-f191-4cce-9933-8199eee09f54"
"2026-07-15T14:46:42.123Z","7e772b98-6dce-481a-97bb-878cadb5da00","7e772b98-6dce-481a-97bb-878cadb5da00","family2@example.com","ירושלים, רחוב 12","אישור חזרה לבית ירושלים, רחוב 12","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","SENT","3c6af4cc-0bbf-4d0e-b3e5-48c806c8be13"
"2026-07-20T17:38:01.891Z","35b0840a-4d15-400b-906e-870992a51575","35b0840a-4d15-400b-906e-870992a51575","family2@example.com","צפת, רחוב 12","אישור חזרה לבית צפת, רחוב 12","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","SENT","13f7093e-efbc-438f-b31e-74fb6d6d27a3"
"2026-07-20T18:33:17.537Z","d8492c48-dc6d-429c-a8f0-83724103bf71","d8492c48-dc6d-429c-a8f0-83724103bf71","family2@example.com","צפת, רחוב 12","אישור חזרה לבית צפת, רחוב 12","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","SENT","13a14710-cd63-4cf7-891e-ed4b2c2d093b"
"2026-07-20T18:33:36.917Z","3a57daa8-33dd-403c-9604-5ed508a7d57a","3a57daa8-33dd-403c-9604-5ed508a7d57a","family4@example.com","ירושלים, רחוב 14","אישור חזרה לבית ירושלים, רחוב 14","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","SENT","db7b110c-48f0-4954-a60b-f203e8eab1d5"
"2026-07-20T18:33:45.624Z","c126a23a-33ed-4a23-8d6f-4fee7b0849bb","c126a23a-33ed-4a23-8d6f-4fee7b0849bb","family1@example.com","ירושלים, רחוב 11","אישור חזרה לבית ירושלים, רחוב 11","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","SENT","9e96000a-bacc-4f1c-8aa9-91e59e9c1dbe"
"2026-07-20T18:33:48.117Z","b6d967a6-e71d-47d0-ba3e-2144ce22a4ad","b6d967a6-e71d-47d0-ba3e-2144ce22a4ad","family3@example.com","טבריה, רחוב 13","אישור חזרה לבית טבריה, רחוב 13","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","SENT","74276f08-4aa3-4568-b0c9-686aabef6b59"
"2026-07-20T18:33:50.584Z","d74907fa-6183-4352-ae22-10966fa3abd7","d74907fa-6183-4352-ae22-10966fa3abd7","family5@example.com","צפת, רחוב 15","אישור חזרה לבית צפת, רחוב 15","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","SENT","accc8a94-0040-40fc-b67d-41a906e5d4a7"
"2026-07-20T18:33:51.819Z","504c3fe2-a098-4966-afe2-83d52294df3f","504c3fe2-a098-4966-afe2-83d52294df3f","family6@example.com","טבריה, רחוב 16","אישור חזרה לבית טבריה, רחוב 16","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","SENT","b3c7e844-fe8b-4ace-ae76-4fcf9b26c345"
"2026-07-20T18:33:53.051Z","c6154852-f78a-46b3-ad7b-e12e11b20b1e","c6154852-f78a-46b3-ad7b-e12e11b20b1e","family7@example.com","ירושלים, רחוב 17","אישור חזרה לבית ירושלים, רחוב 17","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","SENT","9a7269ba-c32f-4785-bf56-0696346fc343"
"2026-07-20T18:33:54.315Z","0e8704ae-fb78-474a-becc-cc033b02ccbd","0e8704ae-fb78-474a-becc-cc033b02ccbd","family8@example.com","צפת, רחוב 18","אישור חזרה לבית צפת, רחוב 18","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","SENT","b14f8a81-6672-46de-8000-94c746dacfad"
"2026-07-20T18:33:55.516Z","4f189619-7971-4f3b-a93e-9f4a5272496d","4f189619-7971-4f3b-a93e-9f4a5272496d","family9@example.com","טבריה, רחוב 19","אישור חזרה לבית טבריה, רחוב 19","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","SENT","a7aad647-fd2d-4625-981d-6bb5ee45d793"
"2026-07-20T18:33:56.765Z","c4093aa5-5f8e-4c94-94ec-5ee1424a4a60","c4093aa5-5f8e-4c94-94ec-5ee1424a4a60","family10@example.com","ירושלים, רחוב 20","אישור חזרה לבית ירושלים, רחוב 20","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","SENT","13efbf19-5b8e-4635-8320-08f252193e8b"
"2026-07-20T19:04:32.055Z","99ad768e-4dce-4992-885d-9c1b4ba3bd09","99ad768e-4dce-4992-885d-9c1b4ba3bd09","family1@example.com","ירושלים, רחוב 11","אישור חזרה לבית ירושלים, רחוב 11","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","SENT","2483e0df-bfc6-40aa-ad19-16100209b1a6"
"2026-07-20T19:04:33.316Z","8e520d5b-d8b5-401c-bf35-b965e05b3256","8e520d5b-d8b5-401c-bf35-b965e05b3256","family2@example.com","צפת, רחוב 12","אישור חזרה לבית צפת, רחוב 12","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","SENT","1cc28bc8-2cbe-463d-951c-8eb5ee984e60"
"2026-07-20T19:04:46.750Z","d54e3247-4dcd-4e33-8530-18820fdcaf9a","d54e3247-4dcd-4e33-8530-18820fdcaf9a","family4@example.com","ירושלים, רחוב 14","אישור חזרה לבית ירושלים, רחוב 14","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","SENT","af98d19c-1dd6-4953-9d41-9bb4f63932f4"
